title,company,location,link
"dict_values(['Python Developer Intern', 'OXO Solutions', 'Ruby, SC', 'https://www.indeed.com/viewjob?jk=84a541c104b5b24c'])"
"dict_values(['Python Developer', 'CAPCO', 'Orlando, FL', 'https://www.indeed.com/viewjob?jk=5316a20518bd3a7a'])"
"dict_values(['Content Author: Python and Flask', 'Codecademy', 'Remote', 'https://www.indeed.com/viewjob?jk=eeeeaca1d923b164'])"
"dict_values(['Python Scripting-Developer', 'Wipro LTD', 'Los Angeles, CA', 'https://www.indeed.com/viewjob?jk=81c8e4c86e74c334'])"
"dict_values(['Content Author: ASP.NET and C#', 'Codecademy', 'Remote', 'https://www.indeed.com/viewjob?jk=21acc5c671ea4daf'])"
"dict_values(['Data Scientist (Python)', 'Applied Memetics LLC', 'Remote', 'https://www.indeed.com/viewjob?jk=0f16c57e35f21a63'])"
"dict_values(['Data Scientist - Entry Level', 'Numerdox', 'Sacramento, CA', 'https://www.indeed.com/viewjob?jk=21091c4562d65586'])"
"dict_values(['Player Development Coach', 'Detroit Tigers', 'Lakeland, FL', 'https://www.indeed.com/viewjob?jk=9686dad201d15f1e'])"
"dict_values(['Python Developer', 'Akra Tech', 'Remote', 'https://www.indeed.com/viewjob?jk=b4746b42ba857a6b'])"
"dict_values(['Entry Level Data Scientist', 'IBM', 'United States', 'https://www.indeed.com/viewjob?jk=267e7cf7de2959c7'])"
"dict_values(['26 Technical Internships -- Manassas, VA', 'SWIFT', 'Manassas, VA', 'https://www.indeed.com/viewjob?jk=39939650b80cefd5'])"
"dict_values(['Python Developer', 'Box', 'Redwood City, CA', 'https://www.indeed.com/viewjob?jk=3960b6d8b8b485d4'])"
"dict_values(['Senior Python Developer', 'eMoney Advisor', 'Remote', 'https://www.indeed.com/viewjob?jk=4d55a4ab5227939b'])"
"dict_values(['Python Software Engineers (Hiring at various levels)', 'Capital One - US', 'Vienna, VA', 'https://www.indeed.com/viewjob?jk=6470a45f0d3c5b36'])"
"dict_values(['Content Creator', 'LeetCode', 'Remote', 'https://www.indeed.com/viewjob?jk=e94af63cb41ad9b5'])"
"dict_values(['Python Developer', 'Accolite, Inc.', 'San Francisco, CA', 'https://www.indeed.com/viewjob?jk=fba1d294996286c5'])"
"dict_values(['Entry Level Data Analyst', 'Hopjump', 'Boston, MA', 'https://www.indeed.com/viewjob?jk=2532431132ffbda1'])"
"dict_values(['Sports Research Analyst', 'Sportradar AG', 'Minneapolis, MN', 'https://www.indeed.com/viewjob?jk=e106cb1f2fb13003'])"
"dict_values(['Python Developer', 'Highbrow Technologies', 'Bellevue, WA', 'https://www.indeed.com/viewjob?jk=70912d7ae92ee088'])"
"dict_values(['Backend Python Engineer', 'Numerator', 'Chicago, IL', 'https://www.indeed.com/viewjob?jk=5b8b49e2d74c5180'])"
"dict_values(['Developer - Python Django', 'Energy Sense Finance', 'Tampa, FL', 'https://www.indeed.com/viewjob?jk=213f60ab30d8eece'])"
"dict_values(['Python Developer', 'Bank of America', 'New York, NY', 'https://www.indeed.com/viewjob?jk=050d116593314f5e'])"
"dict_values(['Python Developer', 'Callsign Media', 'Las Vegas, NV', 'https://www.indeed.com/viewjob?jk=345e22ca6e583be5'])"
"dict_values(['Baseball Research and Development Analyst', 'Milwaukee Brewers', 'Milwaukee, WI', 'https://www.indeed.com/viewjob?jk=d08dd3faa11c59dd'])"
"dict_values(['Python / Kubernetes Developer', 'Applied Memetics LLC', 'Remote', 'https://www.indeed.com/viewjob?jk=89778fe6b27a642d'])"
"dict_values(['Python Engineer', 'Hollstadt & Associates', 'United States', 'https://www.indeed.com/viewjob?jk=7243c02ee0428a3b'])"
"dict_values(['Software Engineer Intern (Python)', 'Vectorworks', 'Columbia, MD', 'https://www.indeed.com/viewjob?jk=39ad2cdb0b67cc04'])"
"dict_values(['Python Django Developer', 'Koinonia Family Services', 'Loomis, CA', 'https://www.indeed.com/viewjob?jk=86e9c849cfb53ef7'])"
"dict_values(['Software Engineer Apprentice', 'IBM', 'Southbury, CT', 'https://www.indeed.com/viewjob?jk=0f89d43ee07a956f'])"
"dict_values(['Entry Level - Back End Developer', 'IBM', 'United States', 'https://www.indeed.com/viewjob?jk=b3bf9d48375caaa3'])"
"dict_values(['Linux Systems Administrator', 'Continued', 'Remote', 'https://www.indeed.com/viewjob?jk=6fa895c823d59a93'])"
"dict_values(['Jr. Python Developer - CSP', 'CACI', 'Aurora, CO', 'https://www.indeed.com/viewjob?jk=ac3003848dfa8b3e'])"
